,Destination,Num_flights,Num_carriers,Hour_f,Price,Hour,stops,Date,Carrier,Flight_time_minutes
347,AMS,107,10,14,1367,14,1,05-19,Lufthansa,665
348,AMS,107,10,18,638,18,2,05-19,Multiple Airlines,1217
349,AMS,107,10,19,679,19,2,05-19,Multiple Airlines,1005
350,AMS,107,10,19,707,19,2,05-19,Multiple Airlines,1215
351,AMS,107,10,19,760,19,3,05-19,Multiple Airlines,1185
352,AMS,107,10,19,762,19,2,05-19,Multiple Airlines,1100
353,AMS,107,10,10,919,10,2,05-19,Multiple Airlines,1213
354,AMS,107,10,22,940,22,1,05-19,Turkish Airlines,1030
355,AMS,107,10,5,963,5,2,05-19,Multiple Airlines,1270
356,AMS,107,10,18,984,18,2,05-19,Multiple Airlines,977
357,AMS,107,10,9,1054,9,2,05-19,Multiple Airlines,1050
358,AMS,107,10,16,1070,16,2,05-19,SAS,1240
359,AMS,107,10,16,1070,16,2,05-19,SAS,1085
360,AMS,107,10,9,1252,9,2,05-19,SAS,1095
361,AMS,107,10,18,699,18,2,05-20,Multiple Airlines,1027
362,AMS,107,10,14,1367,14,1,05-20,Lufthansa,665
363,AMS,107,10,16,1398,16,1,05-20,Lufthansa,670
364,AMS,107,10,11,3080,11,1,05-20,United Airlines,810
365,AMS,107,10,15,3080,15,1,05-20,United Airlines,705
366,AMS,107,10,16,3110,16,1,05-20,Lufthansa,730
367,AMS,107,10,15,3186,15,0,05-20,Delta,520
368,AMS,107,10,17,3186,17,0,05-20,Delta,519
369,AMS,107,10,19,3186,19,0,05-20,Delta,530
370,AMS,107,10,22,3186,22,0,05-20,KLM,500
371,AMS,107,10,10,3191,10,1,05-20,Delta,791
372,AMS,107,10,10,3191,10,1,05-20,Delta,780
373,AMS,107,10,11,3191,11,1,05-20,Delta,758
374,AMS,107,10,24,3191,24,1,05-20,Delta,705
375,AMS,107,10,13,3191,13,1,05-20,Delta,690
376,AMS,107,10,11,520,11,2,05-21,Multiple Airlines,1423
377,AMS,107,10,14,1367,14,1,05-21,Lufthansa,665
378,AMS,107,10,11,520,11,2,05-21,Multiple Airlines,1613
379,AMS,107,10,10,891,10,2,05-21,Multiple Airlines,1213
380,AMS,107,10,10,1020,10,2,05-21,Multiple Airlines,988
381,AMS,107,10,10,1020,10,2,05-21,Multiple Airlines,1218
382,AMS,107,10,10,1026,10,2,05-21,Multiple Airlines,1218
